AssociationId,Region,Market,Store,Date,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville - 2012-07-18,Central,Commercial,Louisville,2012-07-18,112324.0,20100,31.0,440.0,0.76,6.36,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID89.3386,No,,,
Louisville - 2012-07-19,Central,Commercial,Louisville,2012-07-19,123701.0,20100,50.0,487.0,0.61,8.98,0.001542543,July In Store Credit Card Signup Discount; ID84.9644,No,,,
Louisville - 2012-07-20,Central,Commercial,Louisville,2012-07-20,155078.0,20100,55.0,487.0,1.07,8.48,0.001542543,July In Store Credit Card Signup Discount; ID90.2808,No,,,
Louisville - 2012-07-21,Central,Commercial,Louisville,2012-07-21,143601.0,20100,73.0,683.0,0.31,6.83,0.001542543,July In Store Credit Card Signup Discount; ID38.1519,No,,-3000.0,
Louisville - 2012-07-22,Central,Commercial,Louisville,2012-07-22,129513.0,20100,52.0,495.0,0.22,6.13,0.001841075,July In Store Credit Card Signup Discount; ID145.2652,No,,,
Louisville - 2012-07-23,Central,Commercial,Louisville,2012-07-23,113823.0,20100,59.0,412.0,0.54,8.04,0.001841075,July In Store Credit Card Signup Discount; ID153.2562,No,,,
Louisville - 2012-07-24,Central,Commercial,Louisville,2012-07-24,128406.0,20100,62.0,412.0,0.14,6.82,0.001841075,July In Store Credit Card Signup Discount; ID112.1737,No,,,
Louisville - 2012-07-25,Central,Commercial,Louisville,2012-07-25,124820.0,20100,64.0,458.0,0.77,6.23,0.001841075,July In Store Credit Card Signup Discount; ID129.864,No,,,
Louisville - 2012-07-26,Central,Commercial,Louisville,2012-07-26,102571.0,20100,73.0,468.0,1.19,10.93,0.001841075,July In Store Credit Card Signup Discount; ID60.6535,No,,,
Louisville - 2012-07-27,Central,Commercial,Louisville,2012-07-27,148682.0,20100,90.0,533.0,0.59,7.9,0.001841075,July In Store Credit Card Signup Discount; ID77.4283,No,,,
Louisville - 2012-07-28,Central,Commercial,Louisville,2012-07-28,143955.0,20100,98.0,674.0,0.78,9.88,0.001841075,July In Store Credit Card Signup Discount; ID34.5335,No,,250.0,
Louisville - 2012-07-29,Central,Commercial,Louisville,2012-07-29,128910.0,20100,49.0,478.0,0.5,9.83,0.017232143,July In Store Credit Card Signup Discount; ID187.4951,No,,,
Louisville - 2012-07-30,Central,Commercial,Louisville,2012-07-30,126560.0,20100,44.0,403.0,0.72,5.95,0.017232143,July In Store Credit Card Signup Discount; ID1.1934,No,,,
Louisville - 2012-07-31,Central,Commercial,Louisville,2012-07-31,132781.0,20100,44.0,384.0,0.44,7.91,0.017232143,July In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID81.6142,No,,,
Louisville - 2012-08-01,Central,Commercial,Louisville,2012-08-01,122674.0,20100,44.0,488.0,0.54,7.94,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.2822,No,,,0.071985582
Louisville - 2012-08-02,Central,Commercial,Louisville,2012-08-02,117797.0,20100,70.0,496.0,0.73,9.74,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.9739,No,,,
Louisville - 2012-08-03,Central,Commercial,Louisville,2012-08-03,125012.0,20100,60.0,516.0,0.31,11.57,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.147,No,,,
Louisville - 2012-08-04,Central,Commercial,Louisville,2012-08-04,123448.0,20100,65.0,694.0,0.88,8.29,0.017232143,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID24.5867,No,,3500.0,
Louisville - 2012-08-05,Central,Commercial,Louisville,2012-08-05,124492.0,20100,87.0,544.0,0.67,9.71,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID6.5476,No,,,
Louisville - 2012-08-06,Central,Commercial,Louisville,2012-08-06,95675.0,20100,36.0,384.0,0.35,10.83,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID25.2042,No,,,
Louisville - 2012-08-07,Central,Commercial,Louisville,2012-08-07,100043.0,20100,41.0,384.0,0.02,8.72,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID19.5236,No,,,
Louisville - 2012-08-08,Central,Commercial,Louisville,2012-08-08,114334.0,20100,41.0,459.0,0.9,10.1,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID34.117,No,,,
Louisville - 2012-08-09,Central,Commercial,Louisville,2012-08-09,114221.0,20100,64.0,422.0,0.59,8.71,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID41.7458,No,,,
Louisville - 2012-08-10,Central,Commercial,Louisville,2012-08-10,149289.0,20100,78.0,564.0,1.12,13.79,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.9777,No,,,
Louisville - 2012-08-11,Central,Commercial,Louisville,2012-08-11,136509.0,20100,60.0,647.0,0.74,11.55,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID74.7301,No,,-5000.0,
Louisville - 2012-08-12,Central,Commercial,Louisville,2012-08-12,120571.0,20100,52.0,554.0,0.61,8.39,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID92.5855,No,,,
Louisville - 2012-08-13,Central,Commercial,Louisville,2012-08-13,122664.0,20100,34.0,404.0,0.44,10.25,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID37.7972,No,,,
Louisville - 2012-08-14,Central,Commercial,Louisville,2012-08-14,105718.0,20100,56.0,384.0,0.42,8.45,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID94.5722,No,,,
Louisville - 2012-08-15,Central,Commercial,Louisville,2012-08-15,108828.0,20100,52.0,404.0,0.42,8.98,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID93.2012,No,,,
Louisville - 2012-08-16,Central,Commercial,Louisville,2012-08-16,149159.0,20100,95.0,565.0,0.38,8.26,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID110.3682,No,,,
Louisville - 2012-08-17,Central,Commercial,Louisville,2012-08-17,116824.0,20100,61.0,535.0,0.73,9.25,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.1052,No,,,
Louisville - 2012-08-18,Central,Commercial,Louisville,2012-08-18,126751.0,20100,75.0,638.0,0.27,6.91,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID104.7461,No,,2000.0,
Louisville - 2012-08-19,Central,Commercial,Louisville,2012-08-19,119550.0,20100,92.0,490.0,0.78,9.48,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID62.3188,No,,,
Louisville - 2012-08-20,Central,Commercial,Louisville,2012-08-20,95573.0,20100,49.0,319.0,0.13,8.76,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID122.4011,No,,,
Louisville - 2012-08-21,Central,Commercial,Louisville,2012-08-21,112663.0,20100,38.0,377.0,0.13,10.79,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID156.7884,No,,,
Louisville - 2012-08-22,Central,Commercial,Louisville,2012-08-22,105238.0,20100,52.0,377.0,0.5,11.05,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID129.5648,No,,,
Louisville - 2012-08-23,Central,Commercial,Louisville,2012-08-23,117282.0,20100,97.0,423.0,0.48,7.77,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID27.6862,No,,,
Louisville - 2012-08-24,Central,Commercial,Louisville,2012-08-24,131298.0,20100,93.0,574.0,0.17,12.43,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID79.4708,No,,,
Louisville - 2012-08-25,Central,Commercial,Louisville,2012-08-25,160188.0,20100,98.0,772.0,0.94,9.36,0.047435984,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.4466,No,,1250.0,
Louisville - 2012-08-26,Central,Commercial,Louisville,2012-08-26,144092.0,20100,74.0,546.0,0.86,14.28,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID204.7023,No,,,
Louisville - 2012-08-27,Central,Commercial,Louisville,2012-08-27,113956.0,20100,43.0,367.0,0.56,8.99,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID202.6381,No,,,
Louisville - 2012-08-28,Central,Commercial,Louisville,2012-08-28,147383.0,20100,38.0,367.0,0.46,10.3,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID179.9924,No,,,
Louisville - 2012-08-29,Central,Commercial,Louisville,2012-08-29,106044.0,20100,57.0,312.0,0.42,10.48,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID182.6228,No,,,
Louisville - 2012-08-30,Central,Commercial,Louisville,2012-08-30,132922.0,20100,72.0,320.0,0.67,9.75,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID143.8049,No,,,
Louisville - 2012-08-31,Central,Commercial,Louisville,2012-08-31,172487.0,20100,79.0,491.0,0.35,8.86,0.047338066,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID205.6679,No,,,
Louisville - 2012-09-01,Central,Commercial,Louisville,2012-09-01,147490.0,20100,110.0,773.0,0.88,12.36,0.047338066,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID7.2333,No,,-250.0,0.058781839
Louisville - 2012-09-02,Central,Commercial,Louisville,2012-09-02,136963.0,20100,72.0,670.0,1.08,10.46,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.4763,No,,,
Louisville - 2012-09-03,Central,Commercial,Louisville,2012-09-03,144682.0,20100,46.0,678.0,0.61,9.44,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID19.367,No,,,
Louisville - 2012-09-04,Central,Commercial,Louisville,2012-09-04,131544.0,20100,54.0,264.0,0.18,7.8,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID30.5005,No,,,
Louisville - 2012-09-05,Central,Commercial,Louisville,2012-09-05,101268.0,20100,57.0,245.0,0.59,7.8,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID24.7132,No,,,
Louisville - 2012-09-06,Central,Commercial,Louisville,2012-09-06,142231.0,20100,97.0,330.0,0.98,6.63,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID32.0763,No,,,
Louisville - 2012-09-07,Central,Commercial,Louisville,2012-09-07,140308.0,20100,56.0,378.0,0.59,7.17,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID0.9547,No,,,
Louisville - 2012-09-08,Central,Commercial,Louisville,2012-09-08,146185.0,20100,56.0,509.0,0.81,6.53,0.049866712,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID57.0426,No,,6250.0,
Louisville - 2012-09-09,Central,Commercial,Louisville,2012-09-09,133253.0,20100,87.0,406.0,0.34,6.27,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID58.764,No,,,
Louisville - 2012-09-10,Central,Commercial,Louisville,2012-09-10,171849.0,20100,99.0,925.0,0.47,7.9,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID50.796,Yes,,,
Louisville - 2012-09-11,Central,Commercial,Louisville,2012-09-11,216953.0,20100,99.0,1057.0,0.6,5.66,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.7572,Yes,,,
Louisville - 2012-09-12,Central,Commercial,Louisville,2012-09-12,200173.0,20100,122.0,1029.0,0.14,8.23,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID76.0011,Yes,,,
Louisville - 2012-09-13,Central,Commercial,Louisville,2012-09-13,147704.0,20100,62.0,349.0,0.64,8.78,0.056375383,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID68.8791,No,,,
Louisville - 2012-09-14,Central,Commercial,Louisville,2012-09-14,120584.0,20100,69.0,386.0,0.48,8.04,0.056375383,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID65.8381,No,,,
Louisville - 2012-09-15,Central,Commercial,Louisville,2012-09-15,131278.0,20100,74.0,558.0,0.51,9.1,0.056375383,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID55.4812,No,,3750.0,
Louisville - 2012-09-16,Central,Commercial,Louisville,2012-09-16,118781.0,20100,53.0,406.0,0.68,6.81,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID111.1316,No,,,
Louisville - 2012-09-17,Central,Commercial,Louisville,2012-09-17,126444.0,20100,39.0,275.0,0.53,5.58,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID143.4009,No,,,
Louisville - 2012-09-18,Central,Commercial,Louisville,2012-09-18,118081.0,20100,44.0,245.0,0.35,8.01,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID106.9381,No,,,
Louisville - 2012-09-19,Central,Commercial,Louisville,2012-09-19,112091.0,20100,41.0,245.0,0.27,5.82,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.9457,No,,,
Louisville - 2012-09-20,Central,Commercial,Louisville,2012-09-20,118462.0,20100,137.0,341.0,0.82,9.08,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.4624,No,,,
Louisville - 2012-09-21,Central,Commercial,Louisville,2012-09-21,111901.0,20100,84.0,417.0,0.75,9.16,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID118.1285,No,,,
Louisville - 2012-09-22,Central,Commercial,Louisville,2012-09-22,147324.0,20100,76.0,662.0,1.26,6.48,0.055513385,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.8954,No,,0.0,
Louisville - 2012-09-23,Central,Commercial,Louisville,2012-09-23,135477.0,20100,77.0,483.0,0.1,10.03,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID124.7216,No,,,
Louisville - 2012-09-24,Central,Commercial,Louisville,2012-09-24,119991.0,20100,41.0,265.0,0.25,9.36,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID63.0754,No,,,
Louisville - 2012-09-25,Central,Commercial,Louisville,2012-09-25,129617.0,20100,46.0,237.0,0.4,7.89,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID2.1624,No,,,
Louisville - 2012-09-26,Central,Commercial,Louisville,2012-09-26,112629.0,20100,48.0,265.0,0.08,11.34,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.3216,No,,,
Louisville - 2012-09-27,Central,Commercial,Louisville,2012-09-27,114190.0,20100,87.0,293.0,0.63,6.5,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID216.578,No,,,
Louisville - 2012-09-28,Central,Commercial,Louisville,2012-09-28,115451.0,20100,79.0,407.0,0.48,9.51,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID217.1346,No,,,
Louisville - 2012-09-29,Central,Commercial,Louisville,2012-09-29,148946.0,20100,104.0,653.0,0.59,8.77,0.052236858,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID260.4503,No,,1000.0,
Louisville - 2012-09-30,Central,Commercial,Louisville,2012-09-30,131598.0,20100,71.0,407.0,1.03,10.43,0.0507374959999999,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID177.3285,No,,,
Louisville - 2012-10-01,Central,Commercial,Louisville,2012-10-01,130861.0,20100,41.0,228.0,0.65,9.39,0.0507374959999999,October In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID9.85,No,0.1,,0.032845874
Louisville - 2012-10-02,Central,Commercial,Louisville,2012-10-02,140451.0,20100,48.0,275.0,0.27,6.78,0.0507374959999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID4.5868,No,,,
Louisville - 2012-10-03,Central,Commercial,Louisville,2012-10-03,117342.0,20100,43.0,256.0,0.15,6.88,0.0507374959999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID6.964,No,,,
Louisville - 2012-10-04,Central,Commercial,Louisville,2012-10-04,126863.0,20100,71.0,342.0,0.21,11.27,0.0507374959999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID22.347,No,,,
Louisville - 2012-10-05,Central,Commercial,Louisville,2012-10-05,118208.0,20100,78.0,418.0,0.67,9.4,0.0507374959999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID30.6805,No,,,
Louisville - 2012-10-06,Central,Commercial,Louisville,2012-10-06,389915.0,20100,264.0,2749.0,1.08,8.52,0.0507374959999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID46.1922,Yes,,-11250.0,
Louisville - 2012-10-07,Central,Commercial,Louisville,2012-10-07,254318.0,20100,221.0,1783.0,0.19,9.51,0.0526104379999999,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID52.5675,Yes,,,
Louisville - 2012-10-08,Central,Commercial,Louisville,2012-10-08,230203.0,20100,107.0,1110.0,0.21,11.03,0.0526104379999999,In Store Credit Card Signup Discount; ID52.5961,Yes,,,
Louisville - 2012-10-09,Central,Commercial,Louisville,2012-10-09,117808.0,20100,63.0,228.0,0.42,8.18,0.0526104379999999,In Store Credit Card Signup Discount; ID8.4204,No,,,
Louisville - 2012-10-10,Central,Commercial,Louisville,2012-10-10,107871.0,20100,40.0,238.0,0.38,10.53,0.0526104379999999,In Store Credit Card Signup Discount; ID25.1244,No,,,
Louisville - 2012-10-11,Central,Commercial,Louisville,2012-10-11,127577.0,20100,78.0,332.0,0.16,7.7,0.0526104379999999,In Store Credit Card Signup Discount; ID28.2364,No,,,
Louisville - 2012-10-12,Central,Commercial,Louisville,2012-10-12,128505.0,20100,88.0,522.0,0.94,10.43,0.0526104379999999,In Store Credit Card Signup Discount; ID60.064,No,,,
Louisville - 2012-10-13,Central,Commercial,Louisville,2012-10-13,155507.0,20100,78.0,712.0,0.42,10.54,0.0526104379999999,In Store Credit Card Signup Discount; ID51.665,No,,-1500.0,
Louisville - 2012-10-14,Central,Commercial,Louisville,2012-10-14,146470.0,20100,84.0,503.0,0.76,7.01,0.052383315,In Store Credit Card Signup Discount; ID136.2014,No,,,
Louisville - 2012-10-15,Central,Commercial,Louisville,2012-10-15,111191.0,20100,61.0,256.0,0.25,11.02,0.052383315,In Store Credit Card Signup Discount; ID3.3837,No,,,
Louisville - 2012-10-16,Central,Commercial,Louisville,2012-10-16,131509.0,20100,61.0,304.0,0.54,7.22,0.052383315,In Store Credit Card Signup Discount; ID49.9124,No,,,
Louisville - 2012-10-17,Central,Commercial,Louisville,2012-10-17,136081.0,20100,51.0,276.0,0.76,6.2,0.052383315,In Store Credit Card Signup Discount; ID161.5956,No,,,
Louisville - 2012-10-18,Central,Commercial,Louisville,2012-10-18,127085.0,20100,119.0,323.0,0.32,12.51,0.052383315,In Store Credit Card Signup Discount; ID58.9709,No,,,
Louisville - 2012-10-19,Central,Commercial,Louisville,2012-10-19,144225.0,20100,131.0,457.0,0.66,14.34,0.052383315,In Store Credit Card Signup Discount; ID21.0428,No,,,
Louisville - 2012-10-20,Central,Commercial,Louisville,2012-10-20,172567.0,20100,122.0,856.0,0.8,14.93,0.052383315,In Store Credit Card Signup Discount; ID193.1042,No,,-500.0,
Louisville - 2012-10-21,Central,Commercial,Louisville,2012-10-21,155911.0,20100,94.0,523.0,0.6,12.59,0.0476138579999999,In Store Credit Card Signup Discount; ID184.46,No,,,
Louisville - 2012-10-22,Central,Commercial,Louisville,2012-10-22,140095.0,20100,66.0,257.0,0.58,6.94,0.0476138579999999,In Store Credit Card Signup Discount; ID203.9154,No,,,
Louisville - 2012-10-23,Central,Commercial,Louisville,2012-10-23,137211.0,20100,53.0,315.0,0.51,9.02,0.0476138579999999,In Store Credit Card Signup Discount; ID47.7087,No,,,
Louisville - 2012-10-24,Central,Commercial,Louisville,2012-10-24,146401.0,20100,73.0,351.0,0.2,7.52,0.0476138579999999,In Store Credit Card Signup Discount; ID76.9084,No,,,
Louisville - 2012-10-25,Central,Commercial,Louisville,2012-10-25,136149.0,20100,98.0,333.0,0.3,6.38,0.0476138579999999,In Store Credit Card Signup Discount; ID198.409,No,,,
Louisville - 2012-10-26,Central,Commercial,Louisville,2012-10-26,157190.0,20100,96.0,427.0,0.81,7.91,0.0476138579999999,In Store Credit Card Signup Discount; ID148.6645,No,,,
Louisville - 2012-10-27,Central,Commercial,Louisville,2012-10-27,174921.0,20100,131.0,524.0,0.25,10.66,0.0476138579999999,In Store Credit Card Signup Discount; ID200.0452,No,,-2750.0,
Louisville - 2012-10-28,Central,Commercial,Louisville,2012-10-28,156397.0,20100,98.0,381.0,0.32,8.73,0.046630313,In Store Credit Card Signup Discount; ID162.0394,No,,,
Louisville - 2012-10-29,Central,Commercial,Louisville,2012-10-29,138752.0,20100,61.0,239.0,0.43,10.0,0.046630313,In Store Credit Card Signup Discount; ID39.7967,No,,,
Louisville - 2012-10-30,Central,Commercial,Louisville,2012-10-30,126372.0,20100,50.0,277.0,0.21,5.76,0.046630313,In Store Credit Card Signup Discount; ID243.0758,No,,,
Louisville - 2012-10-31,Central,Commercial,Louisville,2012-10-31,182603.0,20100,53.0,343.0,0.21,6.35,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.7592,No,,,
Louisville - 2012-11-01,Central,Commercial,Louisville,2012-11-01,166793.0,20100,76.0,333.0,0.49,10.52,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.4748,No,,,-0.019967039
Louisville - 2012-11-02,Central,Commercial,Louisville,2012-11-02,138926.0,20100,95.0,514.0,0.09,5.58,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3929,No,,,
Louisville - 2012-11-03,Central,Commercial,Louisville,2012-11-03,186549.0,20100,70.0,723.0,0.56,6.51,0.046630313,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3752,No,,4500.0,
Louisville - 2012-11-04,Central,Commercial,Louisville,2012-11-04,163741.0,20100,88.0,542.0,1.01,9.92,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID39.1014,No,,,
Louisville - 2012-11-05,Central,Commercial,Louisville,2012-11-05,127218.0,20100,32.0,257.0,0.2,8.77,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID32.5525,No,,,
Louisville - 2012-11-06,Central,Commercial,Louisville,2012-11-06,139251.0,20100,55.0,257.0,0.32,9.78,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID15.9412,No,,,
